nr_registro;marca_comercial;formulacao;ingrediente_ativo;titular_de_registro;classe;modo_de_acao;classe_toxicologica;classe_ambiental;organicos;situacao
15888;Enoke;EC - Concentrado Emulsionável;óleo mineral (hidrocarbonetos alifáticos) (756 g/L);Rawell Agro Ltda - ME;Inseticida;De contato;Não Classificado - Produto Não Classificado;Produto Perigoso ao Meio Ambiente;NAO;True
22420;Entigris;WG - Grânulos Dispersíveis em Água;alfa-cipermetrina (piretróide) (220 g/kg) + Dinotefuram (neonicotinóide) (140 g/kg);Basf S.A.  São Paulo;Inseticida;Sistêmico/Contato/Ingestão;Categoria 3  Produto Moderadamente Tóxico;Produto Altamente Perigoso ao Meio Ambiente;NAO;True
45619;"Entoar; Sugaron; Teburon;";WG - Grânulos Dispersíveis em Água;tebutiurom (uréia) (800 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
32417;Entomite;Insetos Vivos;Stratiolaelaps scimitus (Ácaros Vivos) (5000 Ácaros/Embalagem);Koppert do Brasil Holding S.A. - Piracicaba/SP;Agente Biológico de Controle/Inseticida biológico;Não informado;Não Classificado - Produto Não Classificado;Produto Pouco Perigoso ao Meio Ambiente;SIM;True
6520;Entone;WG - Grânulos Dispersíveis em Água;tebutiurom (uréia) (800 g/kg);Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;Herbicida;Sistêmico/Seletivo;Categoria 4  Produto Pouco Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
5710;Entrust;WP - Pó Molhável;Espinosade (espinosinas) (800 g/kg);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Inseticida;Não sistêmico de origem biológica;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
703;"Envidor; Vesuve;";SC - Suspensão Concentrada;Espirodiclofeno (cetoenol) (240 g/L);Gowan Produtos Agrícolas Ltda. - Matriz Campinas/SP;Acaricida;Não sistêmico;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
7001;Envoke;WG - Grânulos Dispersíveis em Água;trifloxissulfurom-sódico (sulfoniluréia) (750 g/kg);Syngenta Proteção de Cultivos Ltda.  São Paulo/SP;Herbicida;Seletivo, de ação sistêmica;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Perigoso ao Meio Ambiente;OUTROS;True
17008;Envoy;SE - Suspo-Emulsão;epoxiconazol (triazol) (62.5 g/L) + piraclostrobina (estrobilurina) (85 g/L);Basf S.A.  São Paulo;Fungicida;Sistemico;Categoria 3  Produto Moderadamente Tóxico;Produto Muito Perigoso ao Meio Ambiente;NAO;True
33725;Enzosta;SC - Suspensão Concentrada;Fluazaindolizine (Sulfonamida) (500 g/L);CTVA Proteção de Cultivos Ltda - Barueri (Tamboré);Nematicida;Não informado;Categoria 5  Produto Improvável de Causar Dano Agudo;Produto Pouco Perigoso ao Meio Ambiente;NAO;True
