titular_de_registro;empresa_pais_tipo;empresa_estado;empresa_pais_mencionado;tipo_empresa
FMC Química do Brasil Ltda. - Campinas/SP;(FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Syngenta Proteção de Cultivos Ltda. - Paulínia<BRASIL>FORMULADOR) +  (Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR) +  (Indústrias Químicas Lorena Ltda - Roseira <BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Ipanema Industria de Produtos Veterinários Ltda.<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Igarapava<BRASIL>IMPORTADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>IMPORTADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Schirm USA<ESTADOS UNIDOS>FORMULADOR) +  (FMC (Suzjou) Crop Care Co. Ltd <CHINA, REPUBLICA POPULAR>FORMULADOR) +  (FMC Corporation - Illinois<ESTADOS UNIDOS>FORMULADOR) +  (FMC Corporation - Middleport<ESTADOS UNIDOS>FORMULADOR);MG;BRASIL;Com presença internacional
Rainbow Defensivos Agrícolas Ltda.- Porto Alegre /RS;(Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Zouping Pesticide Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);;CHINA, REPUBLICA POPULAR;Com presença internacional
Biovirtus Soluções Ambientais Ltda.  Vinhedo/SP;(Kriya Biotech <ÍNDIA>FORMULADOR);;ÍNDIA;Com presença internacional
Basf S.A.  São Paulo;(Basf S.A. - Cuiaba<BRASIL>IMPORTADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>IMPORTADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Basf Argentina S.A. - Florencio Varela<ARGENTINA>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (BASF SE  - Ludwigshafen<ALEMANHA>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR);;BRASIL;Com presença internacional
Avgust Crop Protection Importação e Exportação Ltda.;(August INC (Fábrica)<RÚSSIA, FEDERAÇÃO DA>FORMULADOR) +  (Changzhou August Agrochem Company Limited<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (CJSC AUGUST-BEL<RÚSSIA, FEDERAÇÃO DA>FORMULADOR) +  (LLC August-Alabuga <RÚSSIA, FEDERAÇÃO DA>FORMULADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Filial Indaiatuba/SP<BRASIL>FORMULADOR) +  (Ultrafine Technologies Indústria e Comércio de Produtos Químicos Ltda. - Indaiatuba/SP<BRASIL>FORMULADOR);PR;RÚSSIA, FEDERAÇÃO DA;Com presença internacional
Prophyto Comercio e Serviços Ltda.  São Paulo/SP;(Bayer S.A. - Belford Roxo<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (Lanxess Indústria de Poliuretanos e Lubrificantes Ltda. - Rio Claro Fechada<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda.  - Barra Mansa<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>IMPORTADOR) +  (Ouro Fino Química S.A. - Uberaba<BRASIL>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Basf S.A.  Guaratinguetá<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR);SP;BRASIL;Somente nacional
Iharabras S.A. Indústria Químicas - Sorocaba;(Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR);;BRASIL;Somente nacional
Pilarquim Br Comercial Ltda.- São Paulo;(Pilarquim Br Comercial Ltda.- São Paulo<BRASIL>IMPORTADOR) +  (Pilarquim (Shanghai) Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Pilarquim (Shanghai) Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Nufarm do Brasil Ltda <BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR);MG;BRASIL;Com presença internacional
Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP;(Arvensis Agro S.A.<ESPANHA>FORMULADOR) +  (Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP<BRASIL>MANIPULADOR) +  (Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP<BRASIL>FORMULADOR) +  (Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP<BRASIL>MANIPULADOR) +  (Goplan S/A - Campinas<BRASIL>IMPORTADOR) +  (Ballagro Agro Tecnologia Ltda. - Piracaia-SP<BRASIL>IMPORTADOR) +  (Ballagro Agro Tecnologia Ltda. - Bom Jesus dos Perdões/SP<BRASIL>IMPORTADOR) +  (Ballagro Agro Tecnologia Ltda. - Piracaia-SP<BRASIL>MANIPULADOR) +  (Commagro BioAgri Insumos Agrícolas Ltda - Campinas/SP<BRASIL>IMPORTADOR);SP;ESPANHA;Com presença internacional
Bayer S.A. - São Paulo/ SP;(Bayer S.A. - Portão (Desativado)<BRASIL>FORMULADOR) +  (Bayer SAS - Villefranche<FRANÇA>FORMULADOR);;BRASIL;Com presença internacional
Cropchem Ltda - Porto Alegre;(Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Rudong Zhongyi Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagros Chemicals Índia Limited - Egmore Chennai<ÍNDIA>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Hailir Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Suzhou Greenlands Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Parijat Industries India Pvt. Ltd. - Ambala<ÍNDIA>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Flag Chemical Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shanghai Shengnong Pesticide Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Flag Chemical Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Agromol Biotech Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Yunfan Chemicals Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Agrotechnica Industria E Comercio De Fertilizantes Ltda <BRASIL>FORMULADOR);;BRASIL;Com presença internacional
ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba;(Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Xi' An Mti Co, Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Changqing Biotechnology Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Hailir Pesticides and Chemicals Group Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jadesheen Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Sega Science and Technology - Huzhou 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong United Pesticide Industry Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);;CHINA, REPUBLICA POPULAR;Com presença internacional
Sinon do Brasil Ltda. - Porto Alegre /RS.;(Sinon Corporation - Taiwan<TAIWAN (ILHA FORMOSA)>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Fersol Indústria e Comércio S.A. - EM RECUPERACAO JUDICIAL<BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Sinon Chemical CO. LTD. - Shanghai/China <CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Zhejiang Xinan Chemical Industrial Group Co., Ltd - Jiande City<CHINA, REPUBLICA POPULAR>FORMULADOR);CE;TAIWAN (ILHA FORMOSA);Com presença internacional
Nortox S.A. - Arapongas;(Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit I<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit II<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Fengdeng Crop Science Co. Ltd..<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (SML Limited  Unit I - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit II - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit III - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit IV - Panoli<ÍNDIA>FORMULADOR);;BRASIL;Com presença internacional
Nortox S.A. - Arapongas;(Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);;BRASIL;Com presença internacional
Nortox S.A. - Arapongas;(Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit I<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit II<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Fengdeng Crop Science Co. Ltd..<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (SML Limited  Unit I - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit II - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit III - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit IV - Panoli<ÍNDIA>FORMULADOR);;BRASIL;Com presença internacional
Nortox S.A. - Arapongas;(Nortox S.A. - Arapongas<BRASIL>FORMULADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Wasion Crop Science and Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);;BRASIL;Com presença internacional
4Terra Comércio e Representações Ltda - Piracicaba/SP;(Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR);PR;BRASIL;Somente nacional
Agriconnection Importadora e Exportadora de Insumos Agrícolas - Barueri/SP;(Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Astec Lifesciences Limited (Fábrica 01)<ÍNDIA>FORMULADOR) +  (Rudong Zhongyi Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (SML Limited  Unit I - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit III - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit II - Panoli<ÍNDIA>FORMULADOR) +  (SML Limited - Unit IV - Panoli<ÍNDIA>FORMULADOR) +  (Meghmani Industries Ltd. (Unit-III) - Dahej <ÍNDIA>FORMULADOR) +  (Jiangsu Tuoqiu Agrochemicals Co. Ltd - Jiangsu<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Ningbo Kenova Chemical Co. Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Sumitomo Chemical Brasil Indústria Química S.A. - Maracanaú/CE<BRASIL>FORMULADOR) +  (Chizhou Bioagriland Multichem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Corechem Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 01<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 02<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Rainbow Chemical Co., Ltd. - Unidade Fabril 03<CHINA, REPUBLICA POPULAR>FORMULADOR);PR;BRASIL;Com presença internacional
Inovatis Agronegocios Importação e Exportação Ltda.;(Sino-Agri Leading (Tianjin) Agrochemical Company Limited.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Lanlix Cropscience Co. Ltd.<TAIWAN (ILHA FORMOSA)>FORMULADOR) +  (CHDS Agrochemicals S.A.I.C.<PARAGUAI>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Proquimur S.A. - Canelones<URUGUAI>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>MANIPULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>MANIPULADOR) +  (Agricultores Federados Argentinos S.C.L.<ARGENTINA>MANIPULADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR   <BRASIL>IMPORTADOR) +  (CHDS do Brasil Comercio de Insumos Agricolas Ltda - Luis Eduardo Magalhães /BA<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comercio de Insumos Agricolas Ltda - Balsas/MA<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comercio de Insumos Agricolas Ltda - Carazinho/RS<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Barueri/SP<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Uberaba/MG<BRASIL>IMPORTADOR) +  (CHDS do Brasil Comércio de Insumos Agrícolas Ltda - Dourados/MS<BRASIL>IMPORTADOR) +  (Fiagril Ltda.  Lucas do Rio Verde/MT<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Apucarana/PR<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda. - Carazinho<BRASIL>IMPORTADOR) +  (Solus do Brasil Ltda - Nova Mutum<BRASIL>IMPORTADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Aparecida de Goiania<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Cuiaba<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agricolas - Ibiporã/PR<BRASIL>IMPORTADOR) +  (TECNOMYL BRASIL DISTRIBUIDORA DE PRODUTOS AGRICOLAS LTDA - CARAZINHO/RS<BRASIL>IMPORTADOR) +  (TECNOMYL BRASIL DISTRIBUIDORA DE PRODUTOS AGRICOLAS LTDA - Luís Eduardo Magalhães/BA<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Barueri/SP<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Cuiaba/MT<BRASIL>IMPORTADOR) +  (Agrilean Inputs S.A. - Luis Eduardo Magalhaes/BA<BRASIL>IMPORTADOR) +  (Green Place Comércio e Distribuição Ltda.<BRASIL>IMPORTADOR) +  (Green Place Comércio e Distribuição Ltda. - Ibiporã/PR<BRASIL>IMPORTADOR) +  (Green Place Comércio e Distribuição Ltda. - Rondonópolis/MT<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda - Ibiporã-PR<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícolas Ltda - Foz do Iguaçu<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícola - Cuiabá/MT<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agricolas - Itu/SP<BRASIL>IMPORTADOR) +  (Tecnomyl Brasil Distribuidora de Produtos Agrícola - Uberaba/MG<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Aparecida de Goiânia/GO<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Dourados/MS<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Paulínia/SP<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Sorocaba/SP<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil - Uberaba/MG<BRASIL>IMPORTADOR) +  (Zhongshan Química do Brasil Ltda -  Luis Eduardo Magalhães/BA<BRASIL>IMPORTADOR) +  (Novachem Importação e Comércio Ltda<BRASIL>IMPORTADOR) +  (Agriconnection Importadora e Exportadora de Insumos Agrícolas Ltda - Itu/SP<BRASIL>IMPORTADOR) +  (Jinan Yinong Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit II<CHINA,;PR;CHINA, REPUBLICA POPULAR;Com presença internacional
Perterra Insumos Agropecuários S.A.  São Paulo/SP;(Sulphur Mills Limited(1904)<ÍNDIA>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>MANIPULADOR) +  (Arcad Industrialização Química Ltda - Paulínia/SP<BRASIL>FORMULADOR);SP;ÍNDIA;Com presença internacional
CCAB Agro S.A.   São Paulo;(Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit I<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Fabrica Ituverava/SP<BRASIL>FORMULADOR) +  (Lanxess Indústria de Poliuretanos e Lubrificantes Ltda. - Rio Claro Fechada<BRASIL>FORMULADOR) +  (Ecadil Indústria Química S.A.<BRASIL>FORMULADOR) +  (Iharabras S.A. Indústria Químicas - Sorocaba<BRASIL>FORMULADOR) +  (Adama Brasil S.A.- Londrina/PR<BRASIL>FORMULADOR) +  (Adama Brasil S.A. - Taquari<BRASIL>FORMULADOR) +  (Prentiss Química Ltda. - Campo Largo/PR<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Tecnomyl S.A. - Villeta<PARAGUAI>FORMULADOR) +  (Tecnomyl S/A- Tierra Del Fuego<ARGENTINA>FORMULADOR) +  (Proventis Lifescience Defensivos Agrícolas Ltda<BRASIL>IMPORTADOR) +  (Phyteurop S.A.<FRANÇA>FORMULADOR) +  (Ningbo Sunjoy Agroscience Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Qingdao Rainbow Chemical Co., Ltd <CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit I<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shangyu Nutrichem Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shanghai High Victory Fine Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Heranba Industries Limited - Unidade III -Valsad<ÍNDIA>FORMULADOR) +  (Suzhou Greenlands Chemical Co., Ltd<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Vision Fluorochem (Nanjing) Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Qingdao Hisigma Chemicals Co., Ltd - Rudong<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Shandong Weifang Shuangxing Pesticide Co. Ltd.<CHINA, REPUBLICA POPULAR>FORMULADOR);SP;CHINA, REPUBLICA POPULAR;Com presença internacional
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP;(Lanxess Indústria de Poliuretanos e Lubrificantes Ltda. - Rio Claro Fechada<BRASIL>FORMULADOR) +  (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit I<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (Tagma Brasil Indústria e Comércio de Produtos Químicos Ltda.<BRASIL>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (FMC Química do Brasil Ltda - Uberaba/MG Fabrica<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Fabrica Ituverava/SP<BRASIL>FORMULADOR) +  (Nortox S.A. - Arapongas<BRASIL>IMPORTADOR) +  (Nortox S.A. - Rondonópolis<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.- Cuiabá/MT<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Ibiporã/PR<BRASIL>IMPORTADOR) +  (Uniphos Colombia Plant Limited<COLÔMBIA>FORMULADOR) +  (UPL Limited - Unit 2 - Akleshwar<ÍNDIA>FORMULADOR) +  (UPL Limited - Vapi<ÍNDIA>FORMULADOR) +  (UPL Limited - Jammu<ÍNDIA>FORMULADOR) +  (UPL Limited - Jhagadia<ÍNDIA>FORMULADOR) +  (UPL Limited - Unit-3 -  Akleshwar<ÍNDIA>FORMULADOR) +  (UPL Limited - Unit 1 - Ankleshwar<ÍNDIA>FORMULADOR) +  (Cerexagri B.v. - Roterdã<PAÍSES BAIXOS, HOLANDA>FORMULADOR) +  (Iprochem (Tianmen) Company Limited<CHINA, REPUBLICA POPULAR>FORMULADOR) +  (UPL Argentina S.A.<ARGENTINA>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR) +  (Laoting Yoloo Bio-Technology Co. Ltd.  <CHINA, REPUBLICA POPULAR>FORMULADOR);MG;BRASIL;Com presença internacional
UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP;(Servatis S.A., Massa Falida da Sociedade Empresaria <BRASIL>FORMULADOR) +  (Reposo S.A.I.C.<ARGENTINA>FORMULADOR) +  (UPL Limited - Uniphos House - Mumbai (Escritório)<ÍNDIA>FORMULADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Carazinho/RS<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.- Cuiabá/MT<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Ibiporã/PR<BRASIL>IMPORTADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Fabrica Ituverava/SP<BRASIL>IMPORTADOR) +  (Sipcam Nichino Brasil S.A. - Uberaba/MG<BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A. - Matriz Ituverava/SP <BRASIL>FORMULADOR) +  (UPL do Brasil Indústria e Comércio de Insumos Agropecuários S.A.  - Salto de Pirapora/SP<BRASIL>FORMULADOR);MG;BRASIL;Com presença internacional
